@relation SMILEfeatures

@attribute sexo {m,f}
@attribute F0finEnv_sma_quartile2 numeric
@attribute F0finEnv_sma_quartile1 numeric
@attribute F0finEnv_sma_amean numeric
@attribute F0final_sma_quartile2 numeric
@attribute F0final_sma_amean numeric
@attribute F0final_sma_quartile3 numeric
@attribute F0finEnv_sma_linregc2 numeric
@attribute F0finEnv_sma_quartile3 numeric
@attribute F0final_sma_quartile1 numeric
@attribute F0finEnv_sma_percentile99.0 numeric
@attribute voicingFinalUnclipped_sma_pctlrange0-1 numeric
@attribute voicingFinalUnclipped_sma_percentile99.0 numeric
@attribute F0final_sma_percentile99.0 numeric
@attribute F0final_sma_linregc2 numeric
@attribute F0final_sma_de_percentile99.0 numeric
@attribute mfcc_sma[11]_amean numeric
@attribute mfcc_sma[11]_quartile3 numeric
@attribute mfcc_sma[11]_quartile2 numeric
@attribute mfcc_sma[11]_quartile1 numeric
@attribute voicingFinalUnclipped_sma_quartile3 numeric
@attribute mfcc_sma[14]_quartile1 numeric
@attribute F0final_sma_stddev numeric
@attribute mfcc_sma[11]_linregc2 numeric
@attribute mfcc_sma[11]_percentile99.0 numeric
@attribute mfcc_sma[14]_amean numeric
@attribute F0final_sma_linregerrQ numeric
@attribute mfcc_sma[12]_amean numeric
@attribute lspFreq_sma_de[5]_linregerrA numeric
@attribute mfcc_sma[14]_linregc2 numeric
@attribute mfcc_sma[14]_quartile2 numeric
@attribute mfcc_sma[14]_quartile3 numeric
@attribute mfcc_sma[12]_linregc2 numeric
@attribute mfcc_sma[12]_quartile1 numeric
@attribute mfcc_sma[11]_percentile1.0 numeric
@attribute mfcc_sma[12]_quartile2 numeric

@data
f,164.3444,143.6971,167.058,154.452,154.9052,189.343,168.8275,188.6004,137.2197,214.9184,0.60339,0.825191,226.4915,161.2377,49.14325,-22.38129,-8.689661,-20.60833,-32.63733,0.793425,-19.46666,42.17915,-27.19489,10.35424,-11.49714,1765.596,8.608191,0.027768,-11.87364,-9.650229,-3.792769,11.41854,-3.928824,-70.29323,8.620153
m,131.372,117.2899,129.8244,120.8381,121.8009,155.3234,130.9107,146.8825,96.42868,189.2938,0.782645,0.782645,199.1208,150.2035,41.62114,1.016286,8.142573,0.404447,-5.526864,0.725664,-9.780786,44.34875,-0.0152,23.14334,-4.428932,1694.63,-9.513292,0.02892,-7.703799,-4.060556,1.32403,-10.09604,-16.2924,-32.5503,-8.611702
m,113.4892,94.86686,111.8587,99.66805,100.969,131.8637,128.6687,129.6867,88.35744,142.9024,0.794966,0.794966,145.157,118.3764,36.05644,4.029036,11.42391,5.019034,-1.449342,0.748996,-18.68217,32.34674,2.978784,30.89293,-13.77024,944.2256,-14.97886,0.03235,-13.63757,-12.88608,-7.676246,-19.17794,-23.20917,-27.75211,-13.28514
f,165.2253,149.7599,172.2475,154.8918,151.8372,179.477,187.003,199.2474,129.2408,221.6893,0.842916,0.842916,226.1028,157.1332,53.25037,-5.885363,3.791673,-5.284336,-15.81946,0.77942,-17.11706,46.31295,-10.45997,20.45931,-8.793615,2135.426,-1.115448,0.021289,-9.31664,-8.762905,-1.260019,-2.148251,-7.350862,-33.52919,-0.495277
m,122.331,110.3251,124.191,120.3453,117.0513,129.3656,133.4461,132.5087,108.6829,178.9209,0.781531,0.781531,185.5074,127.7275,30.72623,13.73417,22.17509,9.80729,3.360734,0.747893,-2.505049,28.20396,19.18195,53.20157,2.397185,757.1476,-0.319085,0.011038,8.159621,3.846477,8.042531,-2.306037,-6.962655,-11.56395,1.19028
f,204.067,175.6457,204.7735,194.1548,195.8479,227.7731,118.9277,244.9027,158.6985,392.7244,0.83707,0.881331,413.5945,146.7516,87.40239,-17.54039,-7.960245,-19.04311,-28.07546,0.801504,-15.27534,80.89556,-9.213588,16.41265,-5.398036,5731.92,10.519,0.018494,-9.375646,-6.230893,0.798977,7.134197,3.652929,-48.9201,9.103188
m,106.7116,97.8554,103.735,102.6333,97.04769,112.0644,103.6008,110.1705,95.56956,121.6549,0.769986,0.769986,128.3854,96.23776,68.20094,-6.894021,2.371611,-6.892621,-14.4788,0.741469,3.758713,27.79386,-10.13181,18.2406,10.17798,772.2773,6.371588,0.03462,10.52268,10.48686,16.78682,-0.390179,-1.824672,-44.36959,5.425508
f,178.3344,164.4555,182.3835,170.9234,164.1813,194.5983,186.1136,195.2547,154.8407,226.3316,0.638159,0.860446,228.8885,169.2855,48.60055,-23.4031,-12.64869,-26.28492,-38.13603,0.801447,-19.90569,47.69913,-24.98919,21.48582,-12.16633,2266.461,3.507803,0.019374,-15.65812,-14.01887,-6.627672,6.584051,-10.39728,-50.66156,3.178694
f,214.4914,188.8721,217.5945,211.8902,200.3031,242.9272,213.1477,262.6264,186.6216,288.036,0.840359,0.840359,291.8406,214.2969,55.47289,-6.059513,0.601637,-5.164015,-11.77453,0.786646,-14.36996,65.61102,-7.950677,12.22252,-8.700777,4238.982,2.320349,0.010403,-9.636559,-7.744355,-3.004019,5.151689,-3.505839,-26.80111,2.159831
f,187.3359,173.8288,188.6115,188.843,181.4055,203.8328,200.04,199.4326,176.3662,245.6763,0.834627,0.834627,250.1128,207.852,53.52119,-8.766358,-2.595419,-10.08827,-16.0428,0.803055,-18.95526,43.41615,-14.22059,16.09124,-10.98958,1649.812,-0.611244,0.020981,-7.97422,-11.59575,-2.256594,-6.02052,-8.369094,-24.4837,0.425768
